empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,1457,Microsoft,TMT,Infosys,8/23/2018,,Retail operations,"Unify POS systems to from three to one different platform (currently different systems true POS retail, CSP, commercial leasing etc.) ",,,N/A,,,N/A
,1458,Microsoft,TMT,Infosys,8/23/2018,,Retail operations,Partner to pilot mixed reality (using HoloLens) in MS stores- talking the EDC experience outside the in the store,,,N/A,,,N/A
,1459,Microsoft,TMT,Infosys,8/23/2018,,Analytics,Build analytics capability for measuring effectiveness of different advertising media,,,N/A,,,N/A
,1460,Microsoft,TMT,Infosys,8/23/2018,,Analytics,Use AI / ML for online advertising to help advertisers on Bing to deliver targeted content to their customers,,,N/A,,,N/A
,1461,Microsoft,TMT,Infosys,9/1/2018,,Migration of system,Migration of commerce systems from LinkedIn to MS,,,"Suhil Srinivas, Director of Product Management, LinkedIn",,,
,1462,Microsoft,TMT,Infosys,9/1/2018,,Testing ,"Support on (i) device testing/management, as well as (ii) API code development to ensure Skype for Business (as part of Teams) is compatible with all types of hardware endpoints (e.g phones, camers, projectors etc)",,,Brighu Sareen,,,
,1463,Microsoft,TMT,Infosys,9/1/2018,,Customer onboarding,"Support faster onboarding of customers in the fast-track program, especially to accelerate end to end adoption of cloud ",,,Robert Davis,,,
,1464,Microsoft,TMT,Infosys,9/1/2018,,Customer experience,Concierge support for O365,,,Tara Roth,,,
,1465,Microsoft,TMT,Infosys,9/1/2018,,Data engineering,"Data engineering, data integration and data science support to increase the adoption of Microsoft Teams and Office",,,TBD,,,
,1466,Microsoft,TMT,Infosys,9/1/2018,,Migration of system,Migration tools for Sharepoint,,,TBD,,,
,1467,Microsoft,TMT,Infosys,9/1/2018,,Testing ,"Support on (i) testing security features, (ii) developing pockets of code across all different applications iwthin Office 365",,,TBD,,,
,1468,TMO,TMT,Infosys,8/23/2018,,New product roadmap / consulting,Work with TMO and Layer3 to develop detailed OTT product roadmap,,3,TBD,,,Within next 3 months
,1469,TMO,TMT,Infosys,8/23/2018,,IT integration,"Billing system  Integrate billing systems for customers across T-Mobile and  Layer3 offerings
",,75,"Darron Webb, Cody Sanford, T-Mobile ",,,6-12 months
,1470,TMO,TMT,Infosys,8/23/2018,,IT integration,"CRM Integrate CRM  across T-Mobile and  Layer3 
",,75,"Darron Webb, Cody Sanford, T-Mobile ",,,6-12 months
,1471,TMO,TMT,Infosys,8/23/2018,,IT integration,"Asset management system  Enhance & scale the asset management system for management of the set top boxes at customers homes
",,10,"John Roy, Layer 3",,,6-12 months
,1472,TMO,TMT,Infosys,8/23/2018,,IT integration,"Commission payment system Integrate T-Mobile commission payment system with Layer3’s existing contract management system which is suboptimal at the moment
",,25,"Lindsay Gardner, Amos Smith, Layer3",,,6-12 months
,1473,TMO,TMT,Infosys,8/23/2018,,IT integration,"Single customer databse: 
- Create single customer database for management of entitlements (what plans etc), part of billing records (billing history, paymnet history), usage history
- Metadata management across Tmobile and Layer3
",,75,"Nicholas Drake, T-Mobile",,,6-12 months
,1474,TMO,TMT,Infosys,8/23/2018,,Application development,"Apps & sites: Standardize the Layer3TV application, and T-Mobile app, including look and feel, and develop new features across both.
",,75,"Greg Grigaitis, Layer 3",,,6-12 months
,1475,TMO,TMT,Infosys,9/18/2018,,IOT," Implementing B2C/SMB IoT use cases (or solutions) that T-Mobile can white label for its subscribers to increase ARPU e.g Smart venues, Smart parking ",,,"- Balaji Sridharan (Vice President, IoT & M2M at T-Mobile), 
- Parag Garg (VP of Product and Technology at T-Mobile)",,,
,1476,TMO,TMT,Infosys,9/18/2018,,IOT,"Setup one stop shop for all integration and certification activities with third parties (e.g like Nest, Family etc)",,,"- Cody Sanford (CIO, T-Mobile); 
- Abigail Franco (Senior Manager, Software Development at T-Mobile)",,,
,1477,TMO,TMT,Infosys,9/18/2018,,IOT,"Enable monetisation of data assets (e.g data from SyncUp drive, fleet) through ML & advanced analytics e.g usage based insurance ",,65,"Balaji Sridharan (Vice President, IoT & M2M at T-Mobile) ",,,
,1478,TMO,TMT,Infosys,9/18/2018,,IOT,Setup testing lab for testing and certification of IoT devices for T-Mobile,,25,"Grant Castle (Vice President, Engineering Services & QA at T-Mobile)",,,
,1479,TMO,TMT,Infosys,10/2/2018,,Sprint merger,"Integration/transformation of systems (OSS/BSS)
  - Frontend (i.e mpos, tmo, payments)
   - Backend, specifically Finance and HR
   - Data & BI
   - B2B",,15,#NAME?,,,12-24 months
,1480,TMO,TMT,Infosys,10/2/2018,,Sprint merger,Integrated stores and web  rebranding,,,To be identified,,,12-24 months
,1481,TMO,TMT,Infosys,10/2/2018,,Sprint merger,End to end legacy application maintenence outsourcing ,,,COO/CIO,,,12-24 months
,1482,TMO,TMT,Infosys,10/2/2018,,Sprint merger,Infrastructure consolidation and/or Infrastructure takeover (e.g data center takeover),,10,To be identified,,,12-24 months
,1483,TMO,TMT,Infosys,10/2/2018,,Sprint merger,"Business process redesign/consolidation, especially in Commissions, payroll etc",,,To be identified,,,12-24 months
,1484,TMO,TMT,Infosys,10/2/2018,,Sprint merger,"Network IT enablement
- SDN/NFV for the merged entity 
- Business process optimisation (BPO) for merged entity",,,#NAME?,,,12-24 months
,1485,TMO,TMT,Infosys,9/18/2018,,Network operations ,"Integrate and manage service to support Network operations for T-Mobile to offer managed private networks to large IoT customers e.g., manufacturer
",,,"Dave Mayo, Balaji Sridharan",,,
,1486,TMO,TMT,Infosys,9/18/2018,,Device orchestration layer," Develop device orchestration layer for T-Mobile platform to offer Device lifecycle management including: 
connectivity of device end node with IoT sensors, modules etc
device monitoring, maintenance, repair  and replacement
",,,"Dave Mayo, Balaji Sridharan",,,
,1487,TMO,TMT,Infosys,9/18/2018,,IoT Ecosystem security,"Assess IoT ecosystem security for sensor hardware, sensor software, gateway and application cloud interface ",,,"Dave Mayo, Balaji Sridharan",,,
,1488,TMO,TMT,Infosys,9/18/2018,,Legacy device connection,"Develop solutions to securely connect industrial legacy devices to the IoT cloud to enable greater efficiency, and create new services",,,"Dave Mayo, Balaji Sridharan",,,
,1489,TMO,TMT,Infosys,9/18/2018,,Solution marketplace,Solution marketplace Build and support software overlay for marketplace of solutions through partnerships,,,"Dave Mayo, Balaji Sridharan",,,
,1490,TMO,TMT,Infosys,9/18/2018,,IoT care support,"Dedicated care support for IoT portfolio (Consumer, M2M, Enterprise)",,,"Dave Mayo, Balaji Sridharan",,,
,1491,TMO,TMT,Infosys,9/18/2018,,IoT supply chain automation,A specific use case to automate the IoT supply chain ecosystem,,,"Dave Mayo, Balaji Sridharan",,,
,1492,TMO,TMT,Infosys,10/2/2018,,IT,"Enable access to email, phone, networks, intranet, disaster recover, security, etc., to ensure Day1 readiness for the merged entity",,,,,,
,1493,TMO,TMT,Infosys,10/2/2018,,IT,Harmonize hardware choices to cleanup legacy hardware and reduce maintenance and upgrade costs,,,,,,
,1494,TMO,TMT,Infosys,10/2/2018,,Network architec-ture and operations,"Harmonize network capacity & architectural choices to reduce fees paid to other networks at different areas (e.g., Verizon) as well as reduce network maintenance and upgrade costs",,,,,,
,1495,TMO,TMT,Infosys,10/2/2018,,Network architec-ture and operations,Decommission or lease non-core network sites  to realize maintenance cost savings ,,,,,,
,1496,TMO,TMT,Infosys,10/2/2018,,Network architec-ture and operations,Consolidate NOCs to create central NOC(s) to supervise Network Operations from optimal cost locations,,,,,,
,1497,TMO,TMT,Infosys,10/2/2018,,Network architec-ture and operations,Combine network operation and spectrum to launch nationwide 5G capabilities,,,,,,
,1498,TMO,TMT,Infosys,10/2/2018,,Customer Service,Provide training support for integrated customer support teams for the  merged entity,,,,,,
,1499,TMO,TMT,Infosys,10/2/2018,,Support Functions,Automate back office processes through Robotic process automation (RPA),,,,,,
,1500,TMO,TMT,Infosys,10/2/2018,,Security,Complete security audit for merger company and put in strong controls framework to ensure compliance,,,,,,
,1501,TMO,TMT,Infosys,10/2/2018,,Cross-cutting,Assess vendor contracts across both companies to cleanup legacy contracts and maximize value capture for combined entity,,,,,,
,1502,American Express,Banking,Infosys,11/21/2018,,Marketing,"a. Assist in the ingestion of social data and customer call center data and creating intelligent structured data from all of this unstructured data
b. Develop data strategy and data ingestion plan for lending product ",,,"David Rabkin, Karthik Mani, Howard Grossfield",,,
,1503,American Express,Banking,Infosys,11/21/2018,,Marketing,"Marketing Operations:
Improve time to execute marketing campaigns and read results (Marketing operations already has a project to unify the platforms, but needs more effective test and learn)
Marketing operations team that needs to be automated. 
Infosys bring all data together and successfully monitor campaigns. Consolidate tools and platforms they have today. ",,,Howard Grossfield,,,
,1504,American Express,Banking,Infosys,11/21/2018,,Marketing,Help accelerate digital programmatic infrastructure for Amex (help build technology / scale scoring and make it more real time),,,"Tatyana, David",,,
,1505,American Express,Banking,Infosys,11/21/2018,,Marketing,"Develop a dashboard/platform to collect static information and 'milestones' of customers for special promotions (e.g., Whenever someone crossed 1 million points etc.)",,,"Howard, David, Gina
",,,
,1506,American Express,Banking,Infosys,11/21/2018,,Marketing,"Develop and integrate portfolio management tools for
helping small businesses: invoicing, supplier management, payroll etc.

Repackage - business in a box
not app store type experience
fuel - memories
Anna - talk to Anna",,,Schedule meeting with Anna Marrs,,,
,1507,American Express,Banking,Infosys,11/21/2018,,Marketing,"
Help create next generation of rewards and incentive platforms

3. Rewards & Incentives for Small and Medium Businesses Anna Marrs
4. Merchant Rewards Platform: Pierric Beckert is building a merchant rewards platform which can be white labeled to merchants. merchant can use it to offer rewards/loyalty to their customers. Looks like a big opportunity where we can make a platform + service play. Need to followup with Venkat. ",,,"E-Bai Koo, Anna
",,,
,1508,American Express,Banking,Infosys,11/21/2018,,Marketing,"a. Merchant activation rate international Improve end to end merchant onboarding (through automation, process improvement)- Ed Jay
b. Develop a self-service tool for merchants (similar to Google Adwords) for offer targetting and recommendations ",,,"Kelly Stevens, Ed Jay",,,
,1509,American Express,Banking,Infosys,11/21/2018,,Marketing,Build tools and analytics platforms for data monetization through networks,,,Matthew Robinson,,,
,1510,American Express,Banking,Infosys,11/21/2018,,Marketing,"RPA opportunity for merchant marketing (automate the process of merchant identification, prospect search, promotions and offers etc)
",,,"Tyler Vaughey
",,,
,1511,American Express,Banking,Infosys,11/21/2018,,Global services,"Provide a managed service to create insights, standard analytics via a dashboard and query capabilities from structured and unstructured data (e.g. call recordings and screen capture) using AI and advanced analytics 
",,2,"Anthony (Under Pascale)
",,,
,1512,American Express,Banking,Infosys,11/21/2018,,Global services,"Leverage advanced analytics to define, manage and classify complaints across channel – Gayatri (work with Vijayan)
",,1,"Pascale Hutz
",,,
,1513,American Express,Banking,Infosys,11/21/2018,,Global services,"Create tools and processes to improve merchant responses and automate resolution in disputes 
",,1,"Doug / Anre Williams
",,,
,1514,American Express,Banking,Infosys,11/21/2018,,Global services,"Create a single point of access for all services in existing/new mobile app 
",,,"Doug Tabish
",,,
,1515,American Express,Banking,Infosys,11/21/2018,,Global services,Help enhance credit risk and fraud management toolsets through better customer data collection tools and enhanced decision making logic,,,Jim Higgins,,,
,1516,American Express,Banking,Infosys,11/21/2018,,Finance,Re-engineer and help migrate finance ERP/database to cloud platform,,,David Fabricant,,,
,1517,American Express,Banking,Infosys,11/21/2018,,Finance,Provide consulting and delivery on Regulatory Reporting simplification and ongoing adjustments/maintenance as regulations change.,,15,"David Fabricant, Scott Nitschki",,,
,1518,American Express,Banking,Infosys,11/21/2018,,Finance,"Provide a managed service to enabling regular and adhoc reporting:
- Annual, quarterly etc. dashboarding and automation
- Mash-up customized by business unit (eg. Corporate, consumer and merchant)
- Rationalize BI tools in an effort to reduce BI tool footprint (e.g. move off Microstrategy)",,,David Fabricant / Linda Zuchakis,,,
,1519,American Express,Banking,Infosys,11/21/2018,,Finance,"Re-engineering opportunity through RPA and AI for India-based team conducting all GL postings, accounting and tax functions; further extending RPA operations for other finance processes ",,,Scott Nitschki/ Todd Oulden,,,
,1520,Cisco,TMT,Infosys,10/4/2018,,Managed Services,"Managed Scaled services for the Americas region -Vendor consolidation across accounts for activities like netowrk refresh, network migration.",,,Syd Garrett,,,TBD
,1521,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Design and develop CISCO's new ""tiered services platform"" for their new classifincation of customers into high, medium and low touch experience",,,"Brett Wingo (Lisa Fretwel)
James Mobley (Ulf Vinneras)
Chris Stiles",,,6-12 months
,1522,Cisco,TMT,Infosys,10/4/2018,,Customer Success,#NAME?,,,"James Mobley, Mike Adams",,,6-12 months
,1523,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Customer success lifecycle dashboard: Integrate purchasing, delivery, sales and develop a single view on customer success metrics and health metrics",,,"Brett Wingo, Shanti Iyer",,,TBD
,1524,Cisco,TMT,Infosys,10/4/2018,,Customer Success,Automated Case Management System: Optimize the “BORG” platform for case management to help in faster resolution of cases. ETL for different information points to act as signal for automations,,,Tom Berghoff,,,TBD
,1525,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Realtime heuristics for all CISCO products; 
Build data collectors to understand install bases for each customer and versions of software. Information is routed to customer success teams to reduce multi version software and to ensure max install base with each customer",,,"Brett Wingo, James Mobley",,,TBD
,1526,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Data engineering, reporting dashboards and insights to identify customer related issues and enable predictive maintenance.",,,Brett Wingo,,,TBD
,1527,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Help CISCO to migrate from On-premise Oracle to cloud. CISCO spends 20 million every 4-5 years on updating on-premise Oracle systems
",,,Brett Wingo,,,TBD
,1528,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Partner with CISCO’s Unified computing system -> Management , deploying and tuning of applications built on UCS for CISCO’s clients (manage the datasets, managing workflows, model tuning, hyper parameter tuning)
",,,Tom Berghoff,,,TBD
,1529,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"GTM opportunities with Infosys to provide hyper managed services:
Potential GTM opportunities:
CMS for Autonomous vehicles: CISCO’s edge analytics along with Infosys IOT capabilities to offer managed services for Autonomous vehicles.

CMS for data center workloads: Partner with CISCO to implement hybrid workload management systems for clients – consulting, configuration, deployment and management",,,Ruba Borno,,,TBD
,1530,Cisco,TMT,Infosys,10/4/2018,,Customer Success,"Consolidation of management centers across Bangalore, mexico, Krakow, and US to ensure better information sharing across managed services
",,,Ruba Borno,,,TBD
,1531,Cisco,TMT,Infosys,10/4/2018,,CDO,Partner with CISCO to implement in providing end to end solutions based on APP Dynamics for customers.,,,Thomas Wyatt,,,TBD
,1532,Cisco,TMT,Infosys,10/4/2018,,CDO,"• Infosys to take legacy platforms and help them run it at lower cost (Jasper etc.). Explore a hybrid model where cisco retains the IP but infosys builds enhancements/next versions etc.
• Edge analytics - Can Infosys build and maintain a tool chain (maybe Remote AI, sensing at edge, pattern detection). 
• Implementation engagements (cisco doesn’t have last mile implementation capabilities). Can infosys become a strategic partner on their IOT business?",,20,Liz Centoni,,,TBD
,1533,Cisco,TMT,Infosys,10/4/2018,,CDO,"Cloud partnership & Enablement products: 1) migrating existing application to cloud 2) maintain and support customer application in cloud and 3) integration Cisco application with customers in house applications
",,,Kip Compton,,,TBD
,1534,Cisco,TMT,Infosys,10/4/2018,,CDO,"Every group uses the different versions of open source code. Infosys to standardize the code, we can consolidate and then reduce the standardization effort and also be the 1st line of support for issues.",,,"Debo Dutta
David Ward",,,TBD
,1535,Cisco,TMT,Infosys,10/4/2018,,Operations,"Help build an integrated solution for Cisco to solve the install base problem
Create a dashboard with all customer information around install base, customer registry, licensing. Includes working with databases on SFDC, SAVM, CRM etc.",,25,"Irving Tan
Maria Martinez
Tal Amog",,,TBD
,1536,Cisco,TMT,Infosys,10/4/2018,,Operations,Value Engineering for Software and optimization for sourcing 3rd party software,,25,"Jeff Purnell
David Ashley
Joe Mcmorrow",,,TBD
,1537,Cisco,TMT,Infosys,10/4/2018,,Operations,"Platform for end to end value chain for reverse logistics, provide operations support around return process (BPO support, trade in devices, Dashboard for end to end metric views etc) and Field operations for data cleanup, security.",,15,"Irving Tan
Jack Allen",,,TBD
,1538,Cisco,TMT,Infosys,10/4/2018,,Operations,Supply Chain as a service: become a strategic partners for all contextual supply chain work for Cisco.,,,TBD,,,TBD
,1539,Cisco,TMT,Infosys,10/4/2018,,Operations,Sweep Contract Automation: Outsource new service contract documentation. Currently CPS has a lot of BPO workforce for this highly manual activity.  2. Inject AI/Automation for contract updation,,5,"John O Connor
Tod Weaver",,,TBD
,1540,Cisco,TMT,Infosys,10/4/2018,,Synamedia,Syanamedia is a new divestiture for cisco and they need support in all of their business processes. Potential new account opening.,,,TBD,,,TBD
,1541,American Express,Banking,Infosys,11/21/2018,,Global merchants,Create a network of suppliers and a marketplace based on the relationships with merchants; improve B2B presence,,,Gunther Bright,,,
,1542,American Express,Banking,Infosys,11/21/2018,,Global merchants,"Merchants Value Proposition - Develop a self-service tool for merchants (similar to Google Adwords) for offer targeting and recommendations, campaign reporting",,,Tyler and Mary Ellen,,,
,1543,American Express,Banking,Infosys,11/21/2018,,Global merchants,Merchants Value Proposition - Expand recommendations to include online merchants and pull in external web data to complete profile and categorization for algorithm,,,Tyler and Mary Ellen,,,
,1544,American Express,Banking,Infosys,11/21/2018,,Global merchants,Showacase realtime growth in merchants accepting amex in a particular region to the card holders (create awareness of the increased merchant base),,,Tyler Vaughey,,,
,1545,American Express,Banking,Infosys,11/21/2018,,Global merchants,Improve merchant marketing toolkit - increasing activation rates for merchants,,,Tyler,,,
,1546,American Express,Banking,Infosys,11/21/2018,,Global merchants,Develop a merchant prospect marketing capability and onboarding process and list for key international cities combining external and internal data,,,Werner and Mary Ellen,,,
,1547,American Express,Banking,Infosys,11/21/2018,,Global merchants,"Improve merchant and partner payment processes, timing and frequency (payments modernization). Assist with current initiative.",,,Priscilla Kam,,,
,1548,American Express,Banking,Infosys,11/21/2018,,Global merchants,Determine multi-currency competitive capabilities and transactions needs. Assist with execution of project (processing and settling in different currencies).,,,Priscilla Kam,,,
,1549,American Express,Banking,Infosys,11/21/2018,,Global merchants,POS certifications for new card launches to avoid declines on untested hw/sw combinations; focus on larger initiative of realtime reporting of operational issues,,,Priscilla Kam,,,
,1550,American Express,Banking,Infosys,11/21/2018,,Global merchants,Help grow rewards and loyalty programs (like Payback) and make them profitable,,,Bernie,,,
,1551,American Express,Banking,Infosys,11/21/2018,,Global merchants,Understand GNS partner and merchant capabilities globally to determine if platform can provide features needed to be a leader in licensed model,,,Pierric Beckert,,,
,1552,American Express,Banking,Infosys,11/21/2018,,Global merchants,"Develop a 360 marketing effort that informs customers of merchants that need activation/new merchants - example, Amex knows when someone is travel to Paris so why not direct them to the places that accept the card; help with strategy",,,Mary Ellen,,,
,1553,American Express,Banking,Infosys,11/21/2018,,Global merchants,"Development and global roll-out of Merchant Mobile app - competitive benchmarking, determine key features and roll out plan",,,Mary Ellen,,,
,1554,American Express,Banking,Infosys,11/21/2018,,Global merchants,Develop a platform to evaluate marketing campaign effectiveness which can help in future marketing initiatives,,,Mary Ellen,,,
,1555,American Express,Banking,Infosys,11/21/2018,,Global merchants,Create special reporting for top X merchants that gives them insights into their business to help maintain discount rate,,,Mary-elen,,,
,1556,American Express,Banking,Infosys,11/21/2018,,Global merchants,Create access to aggregated anonymized data for top 100 merchants,,,Mary Ellen,,,
,1557,American Express,Banking,Infosys,11/21/2018,,Global merchants,Provide amex data based marketing targeting for top X merchants for free,,,Mary Ellen,,,
,1558,American Express,Banking,Infosys,11/21/2018,,Global merchants,Help build a repository of historical data which provides marketers with market information and insights that can be manipulated and queried. (eg. Internal search engine of all market insights),,,Mary Ellen,,,
,1559,Microsoft,TMT,Infosys,9/1/2018,,Omni-Channel,"Providing assistance and migration of one pos across physical and digital, invoice customer directly & also help through omni channel. ->Lind Keppel. Eric blockard, Tod baldwin. Steve Petipas would be the business owner. Troy is incharge for implementation of ms.com. He would be the key contact reporting to Eric Blockard. Greg Harmon, he is director for ms universal store front. ",,,"Alex Cook (Merchandise side)
Erik Lockard/ Troy Batterberry
John Justice (He is engineering guy)
Bryan Levy (PM manager for retail engineering for MS stores)
Gregg Harmon",,,
,1560,Microsoft,TMT,Infosys,9/1/2018,,Omni-Channel,"Rac - Inventory management tool for online. Physical store is uses their own inventory management system through dynamics. The big area here is there are two inventory management systems. For buy online return in store, buy online, pickup store its difficult to track. No pricing consistencies etc. Issues around reporting. ",,,"Alex Cook (Inventory management and pain points)
Lynn Keple (Engineering)",,,
,1561,Microsoft,TMT,Infosys,9/1/2018,,Omni-Channel,"Platform that would have direct connections to the distribution plan. Right now for business SKUs its manual through the business desk. For Physical stores, the store would have to contact merchandize team when inventory is low and they will contact the distributions team. The current process is very manual and involves interventions at key steps ",,,"Alex Cook 
Bryan Levy ",,,
,1562,Microsoft,TMT,Infosys,9/1/2018,,Store for Business ,"Tracking key metrics across Store for Business in Omni-channel: # unique visitors/traffic, Conversion Rate, AOV Traffic via organic search and paid search, Email Click through rate, $ Sales, # Licenses Sold, Online vs. Offline sales mix , Assisted vs. unassisted mix, # of Registered Business Customers, Preferred Buying Channel, Customer LTV  , % in-stock rate, Order to fulfillment lead time 
",,,"Liska Rutherford, Sr. Director of Commercial & Software Category Management ",,,
,1563,Microsoft,TMT,Infosys,9/1/2018,,Store for Business ,"Create BI/Reporting mechanisms & processes – investment in establishing consolidated commercial reporting and SfB reporting , Integration with Offline and Online commercial efforts for Store for Business (e.g. Commercial Dashboard, MSX Integration, Traffic BI),  commercial revenue reporting principles and revenue recognition (SKU based, transaction based, customer based). Credited sales cross direct channels  - online, physical assisted sales. ",,,"Liska Rutherford, Sr. Director of Commercial & Software Category Management ",,,
,1564,Microsoft,TMT,Infosys,9/1/2018,,Microsoft Stores,"Tracking influenced revenue for key cloud and commercial wins with value added services. Measuring the opportunity ""outside the four walls""",,,"Scott Pearson, Sr. Strategy Director",,,
,1565,Microsoft,TMT,Infosys,9/1/2018,,Modern Platform,"Provide assistance in enabling site operations through delivery of global projects, product onboarding, promos and content updates. This includes a ""one-touch"" merchandising automation,  standardizing file management and measured languaged quality.",,,"Harrison Magun - Sr. Director of Digital Storefronts -- SEO, digital content management ",,,
,1566,Microsoft,TMT,Infosys,9/1/2018,,Modern Platform ,"After initial development, support routine content updates for new sites within baseline capacity. Ticketing environment (JIRA/TFS) that allows for associated reporting on customer feedback/issues. ",,,"Harrison Magun - Sr. Director of Digital Storefronts -- SEO, digital content management ",,,
,1567,Microsoft,TMT,Infosys,9/1/2018,,Modern Platform ,"Deploy “glocally” relevant customer experiences providing stakeholders both a centralized and scalable global and local model, Build and direct localization reporting dashboard per consistent set of KPIs to support data-driven solutions, process efficiencies and program improvements ultimately resulting on measurable business impact",,,"Harrison Magun - Sr. Director of Digital Storefronts -- SEO, digital content management ",,,
,1568,Microsoft,TMT,Infosys,9/1/2018,,Modern Platform,"Develop reporting that include: Publishing Volume vs. Forecast, Post-Production Quality, SLA promotions, SLA site updates, SLA onboardings, etc. ",,,"Harrison Magun - Sr. Director of Digital Storefronts -- SEO, digital content management ",,,
,1569,Microsoft,TMT,Infosys,9/1/2018,,Store for Business ,Financing & Lease Integration with APIs into digital and physical POS. Integrate with third party and leasing vendors across online and offline stores,,,"Liska Rutherford, Sr. Director of Commercial & Software Category Management ",,,
,1570,Microsoft,TMT,Infosys,9/1/2018,,Omni-Channel,"Move to MSX - provide a more functional tool that aligns with the broader Microsoft sales teams and provides the ability to support  customer needs be it hardware or online services. It will also mitigate many of the gaps Retail SMB currently has with account data quality (identity), customer nurture, and sales insights.",,,#NAME?,,,
,1571,Microsoft,TMT,Infosys,9/1/2018,,Marketing ,Onboard Digital / Physical stores onto Microsoft (company) Event and customer marketing platform used which is Marketo. ,,,#NAME?,,,
,1572,Toyota,Auto,Infosys,10/1/2018,,Servicing initiative,"Integrate remaining portion of legacy receivable system to improve compliance, automation of manual processes and capture new revenues(basis IFRS changes)",,40,"Mike Wells
Paul Moss
",,,3-6 months
,1573,Toyota,Auto,Infosys,10/1/2018,,Servicing initiative,"Develop predictive system to proactively identify at risk customers and launch interventions and Leverage RPA tools to automate service centre manual processes

",,40,"Mike Wells
Ana  Sampang
Paul Moss
",,,6-12 months
,1574,Toyota,Auto,Infosys,10/1/2018,,Servicing initiative,"Automating back end operations to have profile matching of service agent to customer, schedule automated follow ups
",,5,"Mike Wells
Ana  Sampang
Paul Moss
",,,3-6 months
,1575,Toyota,Auto,Infosys,10/1/2018,,Servicing initiative,"Design systems to increase loyalty (eg systems to send and track incentives, refer programs etc.)
",,5,"Mike Wells
Paul Moss
",,,6-12 months
,1576,Toyota,Auto,Infosys,10/1/2018,,"Infras-tructure and Infotech
","Modernize security(eg. security assessments and upgrades)
",,10,"Scott Cooke
Vipin Gupta
",,,3-6 months
,1577,Toyota,Auto,Infosys,10/1/2018,,"Data and informa-tion manege-ment
","Enhance or Re-design existing data lakes with enhanced functionality by incorporating new use cases eg on blockchain, fraud cases and subscription models
",,10,"Wei Shi
Jiming Chen
",,,6-12 months
,1578,Toyota,Auto,Infosys,10/1/2018,,Financing committee,"Build system for Peer to peer financing over financing customer(Opportunity value not known)
",, -   ,"Wei Shi
Jiming Chen
",,,6-12 months
,1579,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr operations,Utilising analytics and equipping smart machinery with Iot sensors for predictive maintenance which includes Creating a unified data lake across all plants which serve as the backbone for all Analytics and Optimizations for controlling plants and ensuring inter plant linkages Analyzing post sale customer feedback along with IoT driven factory data to generate part failure patterns which can be remedied in the production process Monitoring real-time machine state diagnostics,,30,Marry Bansi – Business Mike Bafan – INGA Milly Marshall – Indians plant Lisa Elkenten - Kentucky,,,<6-8 months
,1580,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Product engineering,Create sensor network on the production line (e.g. optical) and deploy Augmented Reality (AR) to automate material inspection process on the line and provide step-by-step instructions for complex factory tasks using digitized audio-video tools,,15,Sandy Lobenstein Trevor White Tania Sayre Jay Shelton,,,Immediate
,1581,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr supply chain,Build an 'auto order for 3D printing' system for Product Cost Optimization - by deploying machine sensors that can trigger orders basis part wear and tear and printing lead time,,5,Sandy Lobenstein Trevor White Amy Speer,,,<3 months
,1582,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr operations,"Create 'sensors and camera' network on machines to measure the metrics of performance for the part or process.  - key to carefully monitor production line quality (e.g. ""are component metrics starting to drift from prescribed dimensions?"" ""Are environmental factors changing the optimal settings?"")",,5,Sandy Lobenstein Trevor White Tania Sayre,,,<6-8 months
,1583,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Product engineering,Build camera-based paint inspection system of finished parts and cars - use camera-based system to identify good (keep moving through assembly line) or fail (take corrective action),,5,Sandy Lobenstein Trevor White Jay Shelton,,,3-6 months
,1584,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr supply chain,Create ML based RFID tracking system for intelligent inventory management and maintenance,,1,Sandy Lobenstein Trevor White Amy Speer,,,3-6 months
,1585,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr services,"Installation of sensors and actuators to stop or self heal machines and visualize information on status screens before they become unsafe by using sensor data and IoT rules engine to alert plant personnel via phone, tablet or smartwatch of dangerous conditions before event occurs ",,5,Sandy Lobenstein Trevor White Jay Shelton,,,>8-10 months
,1586,Toyota,Auto,Infosys,10/1/2018,,IoT in Mfr - Mfr services,Maintain all mobile apps used by TMNA manufacturing and provide data inisghts to other departments of finance and purchasing personnel ,,2,Sandy Lobenstein Trevor White Ken Stamper,,,>8-10 months
