empty,field_expert_fullname,field_expert_affiliation,field_expert_study,field_expert_contact_point,field_expert_joined_ideation,field_expert_designation,field_expert_description,field_expert_primary_at,field_expert_primary_vt,field_expert_image
,Steve Soechtig,Internal,Infosys,,Y,"Partner, Denver, McKinsey","Steve used to lead the Digital practice in Deloitte focussing on digital transformation, with specialization in the strategy, design and development of enterprise digital solutions- expert brought on to understand how to counter Deloitte tool for ongoing deal on Legacy modernisation",Toyota,Manufacturing,
,Steven Eklund,Internal,Infosys,,N,"Partner, Stamford, McKinsey",Associate Partner in McKinsey and a leader in advanced industries with expertise on shared service center and corporate and business functions,Johnson Controls,Manufacturing,
,Subrat Adhikari,External,Infosys,,Y,"Former Senior Leader IT, Cisco","Subrat worked with Cisco for 16+ years, serving most recently in the role of Senior leader in IT, specifically the ERMO (Enterprise release management org) group",Cisco,TMT,
,Sumit Dutta,Internal,Infosys,,Y,"Partner, Chicago, McKinsey","18+ years at McKinsey with a focus in the Operations & Supply Chain practice
",Coca-cola,CPG,
,Sunit Rikhi,External,,,,"Former Vice President, Technology & Manufacturing Group, Intel Corporation ","Sunit Rikhi currently serves as the Founder of Reach For Infinity and an Executive Board Member of the Children's Cancer Therapy Development Institute. From 2008-2015, Sunit served with Intel as Vice President of the Technology and Manufacturing Group and GM of Custom Foundry. Sunit started this business unit from scratch in 2008 to provide leading edge custom silicon manufacturing services to fabless design companies. At the time he left Intel, the business was on a path to ramping volume to over a billion dollars of revenue run rate. The business had over a thousand engineers spread across the globe and more than ten customers in the USA and Asia. Sunit also served with Intel as Vice President of Technology & Manufacturing Group and Director of Advanced Design. In this role, he was responsible for managing an international team to develop and synchronize advanced design capabilities for leading silicon technology development. Sunit successfully led the synchronization of advanced designs with Moore's Law nodes from 65 nanometers(nm) down to 22nm. During this time, Sunit led Intel's Design-For-Manufacturing initiative and gave shape to a brand new engineering discipline called computational lithography. Sunit has a wide variety of skills, knowledge, and expertise including: Business Strategy, Engineering, Cross-functional Team Leadership, Integration, Analysis, Algorithms, Leadership, Semiconductor Industry, Automation, Processors, Mobile Devices, EDA, Data Analysis, SoC, Manufacturing, Business Development, Operations Management, Public Relations, Strategy, Microprocessors, Program Management, IT Strategy, Product Management, Management, Engineering Management, R&D, Technology Management, Foundry Management, Start-ups, Product Development, Semiconductors, Physical Design, Technology Integration, Mixed Signal, Software Engineering, Software Development, and Organizational Design.",Intel,,
,Ted Rounsaville,Internal,Infosys,,N,"Associate Partner, Washington DC, McKinsey",Shared Services Leader,Coca-Cola,CPG,
,Tim Butler,External,Infosys,,Y,"Ex-Executive Director, P&G GBS",,P&G,CPG,
,Tim Reuss,Internal,Infosys,,Y,"Senior Advisor, Mckinsey, Former President and CEO Mercedez Benz and Former President Dilwari Group",,Toyota,Manufacturing,
,Tim Sinden ,External,,,,"Former President, Eaton Corporation",,Eaton,,
,Timo Fuertsch,External,Infosys,,Y,"Former Head, Project Management & Digital Transformation, Daimler AG",Timo held multiple responsiblities at Daimler. His last role was centred around making Mercedes Benz cars more empathetic and intelligent.,Daimler,Manufacturing,
,Tobias Klauder,External,Infosys,,N,"Former Director, IT, M&A, Microsoft","Tobias lead a team of IT professionals who plan and execute Microsoft's acquisition, joint venture, and divestiture transactions. Responsible for all phases of IT Integration from due diligence through execution across 70+ transactions over the past 6 years including Skype, Yammer, Nokia, and LinkedIn",Microsoft,TMT,
,Tomas Thire,Internal,Infosys,,N,"Associate Partner, New York, McKinsey",Leader for Payments technology in North America,Toyota,Manufacturing,
,Tony Perira,External,Infosys,,N,Ex-Accenture VP ,"Tony has worked on several large scale rebadging exercises as part of his 30+ year stint at Accenture, including the rebadging at Marriott, and Xerox",Verizon,TMT,
,Uwe Lehmann ,External,,,,"Former Senior Manager, Continental Aktiengesellschaft ","Uwe Lehmann has been the Senior Manager, Advanced Purchasing Hybrid Electric Vehicle, at Continental, a manufacturer of vehicle safety applications, comfort and power train, since 2008. Previously, Mr. Lehmann was Customer Communication Manager at Wabco Germany, from 2000 to 2002, Quality Logistics Manager at Wabco Germany, from 1998 to 2000. He has more than nine years of experience in the automotive industry including delivery and turnover forecast control. Mr. Lehmann is a freelance instructor in quality management and logistics and has extensive experience with the real state market in Berlin. He is fluent in English and German.

",Continental,,
,Val Brock ,External,,,,"President, Bismuth Energy LLC","Val Brock is an Independent Oil & Energy Professional who is currently President, Bismuth Energy LLC where he leads a special purpose entity to acquire upstream assets for redevelopment and technology application. Current focus now is evaluation of CO2 capture-to-EOR opportunities, through to project feasibility. He is responsible for opportunity origination, technical and commercial maturation, investor relations, and ultimately asset management and operations. Most recently (4/15), he served as the Vice President - CO2 Source & Transportation with Kinder Morgan where he lead the development, operations, and transportation/delivery of CO2 production in SW Colorado, Arizona, and New Mexico to enhanced recovery projects in Permian Basin and other markets. Prior to joining Kinder Morgan he lead Shell International's global enhanced oil recovery business development and technology organizations. Val has over 33 years experience in the industry having worked in a variety of similar leadership roles in hydrocarbon development (both onshore and deepwater) and strategy/business planning, with Shell Exploration and Production.

",Royal Dutch Shell (Shell),,
,Varun Bhatia,Internal,Infosys,,N,"Expert AP, KL, McKinsey",Former VP RPA at Accenture,Exxon,EPNG,
,Venkat Varadachary,External,Infosys,,Y,"Former CDO, American Express","AmEx - EVP for Global Information Management and Chief Data & Analytics Officer (largely dealt with digital and IT players like Accenture, Infosys etc)",American Express,Banking,
,Vikram Nangia,External,Infosys,,Y,"Former EVP Global Services, American Experss",,American Express,Banking,
,Vincenzo D'Acchioli ,External,,,,Independent Consumer Products Development/Innovation Consultant,"Vincenzo D'Acchioli is an independent Consumer Products Development/Innovation Consultant, an experienced manager oriented to the development of creative projects, innovative and effective, engaging brands and consumers through creativity, insights, strategy and technology. Mr. D'Acchioli had 20 year career with Procter and Gamble and hygiene/consumer products industry, most recently as a Senior Manager of Global Technology Development Corporate R&D. He is also the CEO and Co-Founder of Formamentees, Italian company making graphic T-shirts designed by artists. His professional experiences include: R&D Corporate Advisor - VIOLETA doo BiH/HR (since March 2014) Development of the Company Vision and Strategy -Leadership of all R&D sections of the Company (Hygiene and Detergent) -Built new in Violeta doo Consumer Understanding capability -Successful launch on January 2015 of new HDW product line. After 4months 10+% market share in BiH -Launch of new Odor Control Napkin in BiH and HR on March 15 -Provided training to employees in the areas of Fluid handling materials/core development, Standard methodology in hygiene products, Rapid response technical panels, Olfactory/fragrance/odor control technology, Consumer Understanding research, Product development system/methodology, Packaging design and test to win on shelf, Concept development methodology He was Senior Partner (April 2012 - January 2014) MS3 - Creative & Innovative Experiences(R) - Pescara, ITA -Brand creation, development and management of project portfolio -Develop strategy for digital marketing campaigns -Managing online brand and product campaigns to raise brand awareness. -Evaluating customer research, market conditions and competitor data. -Review new technologies and keep the company at the forefront of digital business Mr. D'Acchioli was Group Head Global Technology Development - Corporate R&D (April 2005 - July 2012). Procter & Gamble Italia Spa- Pescara, ITA -Strategy design of new polymeric fragrance release technology utilization across categories in accordance with Desired Fragrance Experiences at FMOT, SMOT (wet & dry) stages. -Leadership fragrance release technology for PMC supply in Fabric and Beauty product applications to deliver Desired Fragranced Experiences, with OAR/WPI winning vs current -Driven Olfactory/Visual Marketing on shelf program (First Moment Of Truth) linking fragrance release technology, packaging design/visuals with shopper experiences -Driven fragrance system optimization from Heavy Duty Granule WE model migration to HDG Low Income Markets bag ($0.11/SU saving) -Development of new product in Personal Beauty Care (wipes) market based on new substrate design via application of new polymer and process system (NOS $60MM, with Low Capital investment ($25M/pattern; No line modifications), converting inexpensive NW (50% Nonwoven savings; $1.20/su versus $2.75/su) and stepchange in Supply Chain strategy (On market JAS 07). -Implemented Fast Cycle Learning's tools utilization via effective project approach Group Head - New Business Development - Corporate R&D (January 2003 - March 2005) Procter & Gamble Italia Spa- Pescara, IT -Initiated and developed Personal Beauty Care products across a range of novel, category creation projects in the nutraceutical & cosmeceutical market space. Roles included overall technology screening/evaluation, single-point R&D leadership to create and qualify new products for incubational transaction consumer learning tests and scale-up consistent with a staged launch. -Designed new product for topical application in Personal Beauty Care market based on Advanced Cosmeceutical Delivery System, applying chemical and/or physical solutions (Olay, SK-II) Mr. D'Acchioli was Group Head - Consumer Research & Product Development - GBU Diaper NEA (July 00 - Dec 02) Procter & Gamble Far East, Inc. - Kobe, Japan -Led Consumer modeling work for Diaper NEA to guide business/brand strategy (equity work) and product program to promote the business. -Driven A.I. Global Competitive Intelligence strategy, including treatments/ products -Guided product design of Enhanced Fluid Management System Consumer Research & Product Development Manager - GBU Diaper WE (Sept 95 - June 2000) Procter & Gamble Service GmbH - Schwalbach, Germany -Built Consumer Model for New Diapering system in Baby Care upstream initiatives -Identified ""consumer -met"" design and led development of new diapering system for WE -Created functional prototypes to proof product concept and support global IP strategy -Led product concept development to support branding and first cut copy claim in UK market Senior Researcher- Diaper / Feminine Care - Product Development (July 86- Aug 95) FATER /Procter & Gamble Italy JV - Pescara -Development of new Absorbent Material (Fibers, SAP, etc.) core with improved fluid handling Performance; fluid handling model methodology -Plastic films development and suppliers qualification (construction film, packaging film) -Hot Melt Adhesive formulation development


",P&G,,
,Wayne Robertson,External,Infosys,,N,"Former IT Infrastructure and PMO Manager, Exxon","Spent over 35 year in the O&G industry, including 17 years with Shell before moving to Infineum.
* Lead global team delivering and supporting the IT Infrastructure services, and was part of the IT strategic planning for the organisation, having worked with vendors such as TCS, Capgemini",Exxon,EPNG,
,William Dunn,External,Infosys,,Y,"Former Global Head of Claim Service Improvement, AIG",,Allstate,Insurance,
,William King,SA,,,,"Senior Advisor, McKinsey",,P&G,,
,Yaniv Shulman ,External,,,,"Former Software Development Manager, Cisco Systems, Inc","Yaniv Shulman is currently Group Manager of Software Engineering at SAP, a position he has held since 2014. Mr. Shulman is responsible for leading a large group of Software Engineering, DevOps, and Performance Engineering Teams that are responsible for the administration and UI services of an innovative front-end client for SAP’s Fiori Solution. Before coming to SAP, Mr. Shulman was Senior Engineering Manager and Site Manager for Ruckus Wireless. He took a lead role in bootstrapping a new design center in Israel for building high-end products in a highly distributed environment, while meeting telecom requirements for availability, security, and manageability. He held this position from 2012 to 2014. Previously, Mr. Shulman was Manager of Software Development for Cisco, a position he held from 2010-2012. He was responsible for Cisco Prime Network’s gateway related components and engaged with marketing and key customers to simplify the product’s user experience. Before this, Mr. Shulman was Manager of Software Quality for Cisco, where he innovated and promoted an in-house developed automation framework for software functional testing to make sure continuous integration of code is achieved and monitored. Mr. Shulman was Software Quality Manager from 2007-2010. He received a BA in Computer Science from The Open University of Israel and an MBA in Finance and Accounting from The College of Management. His specialties include: building R&D groups from the ground up, agile development, software development management, software quality management, Leading DevOps projects including Continuous Integration and Continuous Delivery, from architecture to deployment (maven, Jenkins, Nexus, Artifactory, git, automation frameworks), and bringing a new product to market from inception to customer deployments.",Cisco,,
,Yong Rhyu,External,Infosys,,N,Sr. Engineering Manager – Core Payments,"Yong is an expert in general management, payment systems, product development, strategy, server architecture, microservices, networking, high-performance computing, embedded programming",American Express,Banking,
,Yvonne Schneider,External,Infosys,,Y,"Former Group CIO, American Express",,American Express,Banking,
,Lynn Reed,External,Birlasoft,Amrita Singh,Y,"Ex-VP, IT, J&J",,Johnson & Johnson,,
,Derek Schneidt ,External,Birlasoft,Amrita Singh,Y,"Former VP, Global head of Technology Risk and Information Security, BMO",,BMO,,
,Dan Pattangi,External,Birlasoft,Amrita Singh,Y,"Former VP, IT, Conduent",,Conduent,,
,Munish Agrawal,External,Birlasoft,Amrita Singh,Y,"Former Sr. VP and Chief Engineer, Conduent",,Conduent,,
,Subbu Iyer ,External,Birlasoft,Amrita Singh,Y,"Former Sr. VP, Digital Channels Technology, Wells Fargo",,Wells Fargo,,
,Mathew Chacko ,External,Birlasoft,Amrita Singh,Y,"Former VP, Chief Architect, Wells Fargo",,Wells Fargo,,
,Ronald Jordan,External,Birlasoft,Amrita Singh,Y,"Former MD – CDO, DTCC",,DTCC,,
,Daniel Collings ,External,Birlasoft,Amrita Singh,Y,"Former Director, Global Solutions Delivery, DTCC",,DTCC,,
,Rajiv Tikoo,External,Birlasoft,Amrita Singh,Y,"Former Director of Technology, Paccar",,Paccar,,
,Ricardo Tatto,External,Birlasoft,Amrita Singh,Y,"Former Global IT Sr. Director, Baxter",,Baxter,,
,Becky Byrd,External,Birlasoft,Amrita Singh,Y,"Former Global Account VP, NOV",,NOV,,
,Aaron Cooke,External,Birlasoft,Amrita Singh,Y,Former MD – NOV,,NOV,,
,Jan Ellerbrock,External,Birlasoft,Amrita Singh,Y,"Former COO, Swiss Re",,SwissRe,,
,Mark Smith,External,Birlasoft,Amrita Singh,Y,"Former Chief Enterprise and Technology Officer, Unilever",,Unilever,,
,Khushnud Irani,External,Birlasoft,Amrita Singh,Y,"SVP and CIO, Lafarge",,Lafarge,,
,John Koerwer,External,Birlasoft,Amrita Singh,Y,"Former Head of Enterprise IT and Applications, The Linde Group",,Linde,,
,Arun Sethuraman,External,Birlasoft,Amrita Singh,Y,"Former VP, Group Information Officer, Stryker",,Stryker,,
,Emmanuel Fernehard,External,Birlasoft,Amrita Singh,Y,"Former Sr. VP, CTO, Disney",,Disney,,
,Julian Pachon,External,Birlasoft,Amrita Singh,Y,"Former MD – Operations Automation, United Airlines",,United Airlines,,
,Ravi Acharya,External,Birlasoft,Amrita Singh,Y,"Former divisional CIO, VP Technology, Medtronics",,Medtronic,,
,Sumit Duttagupta,External,Birlasoft,Amrita Singh,Y,"Former Asst. VP, Reliance",,Reliance,,
,David Decker,External,LTI - Aspire ++,Abhay Mital,N,"Former VP and Divisional CIO, Adient",,Adient,,
,Ricardo Moya - Quiroga Gomez,External,LTI - Aspire ++,Abhay Mital,N,"Senior Expert, Munich Expert in EUR Operations: Manufacturing",,Adient,,
,Benjamin Thibout,External,LTI - Aspire ++,Abhay Mital,N,"General Manager, Faurecia",,Adient,,
,Lukas Michor,Internal,LTI - Aspire ++,Abhay Mital,N,"Associate Partner, Vienna, McKinsey",,Adient,,
,Andras Kadosca,Internal,LTI - Aspire ++,Abhay Mital,N,"Associate Partner, Budapest, McKinsey",,Adient,,
,Emrah Balkir,External,LTI - Aspire ++,Abhay Mital,N,"Former IT Coordinator, Adient",,Adient,,
,Wilhelm Steger,External,LTI - Aspire ++,Abhay Mital,N,"Former Managing Director, Delphi Deutschland Gmbh (2009-2013)",,Adient,,
,Jerry Craig,External,LTI - Aspire ++,Abhay Mital,N,"Former Global Director of IT Mergers and Acquisitions, Johnson Controls",,Adient,,
,Noorudin Ahmed,External,LTI - Aspire ++,Abhay Mital,N,Former Head – Information Systems Department,,Adnoc,,
,Nabil Jarrar,External,LTI - Aspire ++,Abhay Mital,N,Former Strategist Information Technology,,Adnoc,,
,Nazar Kampoori,External,LTI - Aspire ++,Abhay Mital,N,Former Senior Consultant Strategy & Performance Management,,Adnoc,,
,Mark Bouzek,External,LTI - Aspire ++,Abhay Mital,N,"Former VP, CIO Information Technology Operations",,Adnoc,,
,Raj Jhajharia,External,LTI - Aspire ++,Abhay Mital,N,Former Chief Analyst Risk Management,,Adnoc,,
,Ayman AL-Issa,External,LTI - Aspire ++,Abhay Mital,N,Former Cybersecurity Officer Digital Oil Fields,,Adnoc,,
,George Venatius,External,LTI - Aspire ++,Abhay Mital,N,Former Advisor Information Technology,,Adnoc,,
,Narendra Bahulekar,External,LTI - Aspire ++,Abhay Mital,N,Former Solution Architect Capital Projects,,Adnoc,,
,Dr. Gerhard Wischmann,External,LTI - Aspire ++,Abhay Mital,Y,"Former COO, EADS",,Airbus,,
,Christine Tovee,External,LTI - Aspire ++,Abhay Mital,N,"Former CTO, Airbus North America",,Airbus,,
,Thomas Delash,External,LTI - Aspire ++,Abhay Mital,N,"Former VP, Business Development, Strategy & Technology, Airbus",,Airbus,,
,Melanie Roller,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Washington DC, McKinsey",,Airbus,,
,Mike Parkins,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Denver, McKinsey",,Airbus,,
,Reed Doucette,Internal,LTI - Aspire ++,Abhay Mital,N,"Associate Partner, San Francisco, McKinsey",,Airbus,,
,lIan Rozenkopf,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Paris, McKinsey",,Airbus,,
,Jeremy Childes,External,LTI - Aspire ++,Abhay Mital,N,"Former Product Security Director, Airbus",,Airbus,,
,Brendan Naulty,External,LTI - Aspire ++,Abhay Mital,Y,"Former Senior Vice President, Ajinomoto U.S.A.",,Ajinomoto,,
,Keith Pletcher,External,LTI - Aspire ++,Abhay Mital,Y,Former Materials Manager for Ajinomoto Windsor,,Ajinomoto,,
,Thomas Johnson,External,LTI - Aspire ++,Abhay Mital,N,"Former Associate Director, North American Research and Insight, Ajinomoto North America",,Ajinomoto,,
,Saya Godwin,External,LTI - Aspire ++,Abhay Mital,N,"Former Director of Supply Chain, Ajinomoto Althea",,Ajinomoto,,
,Nimish Patel,External,LTI - Aspire ++,Abhay Mital,Y,"Former CTO, BMO Financial Group",,BMO,,
,Tim Empringham,External,LTI - Aspire ++,Abhay Mital,Y,"Former Managing Director -Platform, Analytics and Cloud Engineering, BMO",,BMO,,
,Ling lau,Internal,LTI - Aspire ++,Abhay Mital,N,"Expert Partner, New Jersey, McKinsey","Digital VP, McKinsey",BMO,,
,Matthew Freiman,Internal,LTI - Aspire ++,Abhay Mital,N,"Associate Partner, Toronto, McKinsey","Associate Partner, Canada Banking, McKinsey",BMO,,
,Sabir Munshi,External,LTI - Aspire ++,Abhay Mital,Y,"Former Head (Business Technology), Rand Merchant Bank",,FirstRandBank,,
,Nico Coetzee,External,LTI - Aspire ++,Abhay Mital,Y,"Former CIO, Consumer solutions, First National Bank",,FirstRandBank,,
,Muhommed Riyaaz Patel,External,LTI - Aspire ++,Abhay Mital,N,"Former Digital Solution Specialist, Rand Merchant Bank",,FirstRandBank,,
,Julion De Magalhaes,External,LTI - Aspire ++,Abhay Mital,N,"Former IT Service Delivery Head, First National Bank",,FirstRandBank,,
,Chris Hood,External,LTI - Aspire ++,Abhay Mital,Y,"Former Director of Web Technologies, Digital Marketing, Fox Broadcasting",,Fox,,
,Krish Lakshminarayan,External,LTI - Aspire ++,Abhay Mital,Y,"Former Director IT -DW/BI, 20th Century Fox",,Fox,,
,Miriam Sharman,External,LTI - Aspire ++,Abhay Mital,Y,"Former VP, Digital Services & Operations, 20th Century Fox",,Fox,,
,Frank Carrere,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP – Corporate Development, Fox Networks Group",,Fox,,
,Julio Sobral,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP – Business Operations and Post Production, Fox Broadcasting",,Fox,,
,Ben Wilson,External,LTI - Aspire ++,Abhay Mital,N,"Former CTO – GE Cloud Leader, Oil and Gas",,GE,,
,Magesh Bagavathi,External,LTI - Aspire ++,Abhay Mital,N,"Former CTO – Cloud, Infrastructure & Operations, GE Oil & Gas",,GE,,
,Jeff Pohlmann,External,LTI - Aspire ++,Abhay Mital,N,"Former Vice President, Industrial Analytics, Genpact",,GE,,
,Alan Kocsi,External,LTI - Aspire ++,Abhay Mital,Y,Former Global IT Operations Leader; CIO GE International; CIO Appliances and Lighting; CIO Oil & Gas; CTO Healthcare,,GE,,
,Aravind Ramakrishna,External,LTI - Aspire ++,Abhay Mital,Y,"Former IT Leader, GE Healthcare and Transportation",,GE,,
,Ganesh Natarajan,External,LTI - Aspire ++,Abhay Mital,Y,Former CEO of Zensar Technologies,,Cisco,,
,Raja Sundaram,External,LTI - Aspire ++,Abhay Mital,N,"Former Vice President, Digital Solutions, Software & Services GTM, Alliances and Channels Sales, Cisco",,Cisco,,
,Rashesh Jethi,External,LTI - Aspire ++,Abhay Mital,Y,"Former Director, Cisco Services",,Cisco,,
,Bruce Klein,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP of World Wide Partner Organization, Cisco",,Cisco,,
,Gustave Toppenberg,External,LTI - Aspire ++,Abhay Mital,N,"Former Head of Enterprise Architecture Operations & Governance, Cisco",,Cisco,,
,Howie Xu,External,LTI - Aspire ++,Abhay Mital,N,"Former Head of CNSG Engineering, Cisco",,Cisco,,
,Sanjeev Dali,External,LTI - Aspire ++,Abhay Mital,Y,"Former Worldwide Director, Global Information Technology, Colgate-Palmolive",,Colgate,,
,Rajat Dasgupta,External,LTI - Aspire ++,Abhay Mital,N,"Former, Global Marketing Director, Colgate-Palmolive",,Colgate,,
,Toni Cawley,External,LTI - Aspire ++,Abhay Mital,N,"Former Manager of Project Management, Global Business Initiatives, Colgate-PaImolive",,Colgate,,
,Patricia Montesdeoca,External,LTI - Aspire ++,Abhay Mital,N,"Former Worldwide Director Personal Care Insights, Colgate-PaImolive",,Colgate,,
,Cameron Curtis,External,LTI - Aspire ++,Abhay Mital,Y,"Former Director – Technology Operations & Release Management, The Walt Disney Company",,Disney,,
,Vlad Rak,External,LTI - Aspire ++,Abhay Mital,Y,"Former VPEnterprise Architecture, Data and Analytics Management, The Walt Disney Company",,Disney,,
,Emmanuel Frenenhard,External,LTI - Aspire ++,Abhay Mital,N,"Former, CTO – Walt Disney International",,Disney,,
,Chuck Pagano,External,LTI - Aspire ++,Abhay Mital,N,"Former, CTO – ESPN",,Disney,,
,Jesus Rodriguez Gonzalez,Internal,LTI - Aspire ++,Abhay Mital,N,"Expert Partner, Madrid, McKinsey",,Eaton,,
,Don Brown,External,LTI - Aspire ++,Abhay Mital,N,Former Senior Manager – Information Technology,,Eaton,,
,Anup Thapliyal,External,LTI - Aspire ++,Abhay Mital,N,"Former Head – IT (Enterprise Infrastructure Services) APAC & EMEA Geos, India",,Eaton,,
,Todd Earls,External,LTI - Aspire ++,Abhay Mital,N,"Former Senior Manager Information Technology, Eaton",,Eaton,,
,Ulf Heim,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Berlin, McKinsey",,Eaton,,
,Mauro Erriquez,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Frankfurt, McKinsey",,Eaton,,
,Ryan Trzybi nski,External,LTI - Aspire ++,Abhay Mital,N,Former Global Product Strategy Manager – Line-haul Transmission,,Eaton,,
,Vivek Taing,External,LTI - Aspire ++,Abhay Mital,N,"Former Product Manager Asia Pacific, India",,Eaton,,
,Hans Florival,External,LTI - Aspire ++,Abhay Mital,Y,"Former Solution Architect, Supply chain / SAP, Elkj0p",,Elkjop,,
,Steffen Schairer,External,LTI - Aspire ++,Abhay Mital,Y,"Former Head – IT Payment solutions, Media Saturn",,Elkjop,,
,Sean Gill,External,LTI - Aspire ++,Abhay Mital,N,"Former Director of IT, Walmart eCommerce",,Elkjop,,
,Heresh Eskandari,External,LTI - Aspire ++,Abhay Mital,N,"Former Head of IT, Media-Saturn",,Elkjop,,
,Mathias Kullmann,Internal,LTI - Aspire ++,Abhay Mital,N,"Senior Partner, Dusseldorf, McKinsey",,Elkjop,,
,Mike Emmett,External,LTI - Aspire ++,Abhay Mital,Y,"Former Group Executive Officer, Operations QBE Insurance",,Fairfax,,
,John Brisco,External,LTI - Aspire ++,Abhay Mital,Y,Former CIO (Emerging Markets) & COO (Latin America) QBE Insurance,,Fairfax,,
,Guido Govers,External,LTI - Aspire ++,Abhay Mital,Y,"Former VP, Enterprise Systems, Allied World",,Fairfax,,
,David Brattain,External,LTI - Aspire ++,Abhay Mital,N,"Former SVP Infrastructure, IT Operations, Security & Managed Services, QBE Insurance",,Fairfax,,
,John Mendel,External,LTI - Aspire ++,Abhay Mital,Y,"Former Executive Vice President, Sales and Marketing, American Honda Motor Company (2004-2017)",,Honda,,
,Kalyan Sakthivelayutham,External,LTI - Aspire ++,Abhay Mital,Y,"Former CIO, Honda Logistics North America (2002-2016)",,Honda,,
,Kersten Heineke,Internal,LTI - Aspire ++,Abhay Mital,Y,"Partner, Frankfurt, McKinsey",,Honda,,
,Ingemar Rask,Internal,LTI - Aspire ++,Abhay Mital,N,"Expert AP, Gothenburg-AB, McKinsey","Associate Partner and
Automotive IT Expert,
McKinsey
Saroj",Honda,,
,Saroj Kumar Raju,External,LTI - Aspire ++,Abhay Mital,N,"Former Lead Programmer, Telematics division, Honda (2013 -2015)",,Honda,,
,Andrew Weir,External,LTI - Aspire ++,Abhay Mital,Y,"Former Group CTO and Chief Scientist, HSBC",,hsbc,,
,John Hand,External,LTI - Aspire ++,Abhay Mital,N,"Former Head of Global Data Architecture and Information Services, HSBC",,hsbc,,
,Oleg Kolontyrskiy,External,LTI - Aspire ++,Abhay Mital,N,"Former Enterprise Architect, HSBC",,hsbc,,
,"Francisco ""Frank""
DeArmas",External,LTI - Aspire ++,Abhay Mital,Y,Former VP IT and CIO Global Surgery Americas for Johnson & Johnson (2011-2016),,j&j,,
,Bill Read,External,LTI - Aspire ++,Abhay Mital,N,"Former Senior Managing Director, Products Industry, Accenture, specialized in Pharmaceutical industry (2005-2016)",,j&j,,
,Martha Oenick,External,LTI - Aspire ++,Abhay Mital,N,"Former Director of R&D, Ortho-Clinical Diagnostics, Johnson and Johnson (2002-2014)",,j&j,,
,Rainer Janssen,External,LTI - Aspire ++,Abhay Mital,N,"Former CIO, Munich Re (Group)",,MunichRE,,
,Petra Koch,External,LTI - Aspire ++,Abhay Mital,N,"Former IT Strategy, ITERGO",,MunichRE,,
,Thomas Flesch,External,LTI - Aspire ++,Abhay Mital,N,"Head of Purchasing; International Procurement, ITERGO",,MunichRE,,
,Chris Everson,External,LTI - Aspire ++,Abhay Mital,N,"Former Director of IT and Business Services (CIO), Munich Re",,MunichRE,,
,John Campbell,External,LTI - Aspire ++,Abhay Mital,N,"Former CIO, Specialty Insurance Division, Munich Re America",,MunichRE,,
,Oliver Lehmeyer,External,LTI - Aspire ++,Abhay Mital,N,"Former Deputy Head of Corporate Strategy, Munich Re",,MunichRE,,
,Sakari Olli,External,LTI - Aspire ++,Abhay Mital,Y,"Head of Issuing Customer Deliveries and Solutions, Nets I Holdings",,NETS Holdings,,
,Tobias Lundberg,Internal,LTI - Aspire ++,Abhay Mital,N,"Partner, Stockholm, McKinsey",,NETS Holdings,,
,Divyesh Vithlani,External,LTI - Aspire ++,Abhay Mital,Y,"Former MD – Group Technology COO, Credit Suisse",,Nordea,,
,Rebeca Minguela,External,LTI - Aspire ++,Abhay Mital,Y,"Former Chief Digital Officer, Santander Bank (2015-2016)",,Nordea,,
,Ian Buchanan,External,LTI - Aspire ++,Abhay Mital,N,"Former Group CIO, Barclays (2011-2016)",,Nordea,,
,Mats Andersson,External,LTI - Aspire ++,Abhay Mital,N,"Former CTO & Head of Architecture Group IT, Nordea (2011-2013)",,Nordea,,
,Henrik Korch,External,LTI - Aspire ++,Abhay Mital,N,"Former Head of Transformation Office & Vendor Management, Nordea (1998-2016)",,Nordea,,
,Jesper Christensen,External,LTI - Aspire ++,Abhay Mital,N,"Former Chief IT Infrastructure Specialist, Nordea (2005-2016)",,Nordea,,
,Joshua Prost,External,LTI - Aspire ++,Abhay Mital,N,Former Global Marketing Operations Manager Thalese-Security,,Thales,,
,Eddie Chan,External,LTI - Aspire ++,Abhay Mital,N,"Former Consultant, Office of the CIO Thales USA & Canada",,Thales,,
,Sebastien Bastard,External,LTI - Aspire ++,Abhay Mital,N,"Former Senior Manager, Thales Avionics",,Thales,,
,Paul Watson,External,LTI - Aspire ++,Abhay Mital,N,"Former VP, Operations, Thales UK",,Thales,,
,Raj Ramasamy,External,LTI - Aspire ++,Abhay Mital,N,"Former VP & CIO, Thales USA",,Thales,,
,Brad Foreman,External,LTI - Aspire ++,Abhay Mital,N,"Former VP, Business Development, Thales USA",,Thales,,
,Akhil Bhandari ,External,LTI - Aspire ++,Abhay Mital,Y,"Former VP IT & CIO, Pratt & Whitney Canada (2006-2014)",,UTC,,
,Raman Ramanathan,Internal,LTI - Aspire ++,Abhay Mital,Y,"Partner, Washington DC, McKinsey",,UTC,,
